x,y,bool
120,26,1
120,25.99,1
120,25.98,1
120,25.97,1
120,25.96,1
120,25.95,1
120,25.94,1
120,25.93,1
120,25.92,1
120,25.91,1
120,25.9,1
120,25.89,1
120,25.88,1
120,25.87,1
120,25.86,1
120,25.85,1
120,25.84,1
120,25.83,1
120,25.82,1
120,25.81,1
120,25.8,1
120,25.79,1
120,25.78,1
120,25.77,1
120,25.76,1
120,25.75,1
120,25.74,1
120,25.73,1
120,25.72,1
120,25.71,1
120,25.7,1
120,25.69,1
120,25.68,1
120,25.67,1
120,25.66,1
120,25.65,1
120,25.64,1
120,25.63,1
120,25.62,1
120,25.61,1
120,25.6,1
120,25.59,1
120,25.58,1
120,25.57,1
120,25.56,1
120,25.55,1
120,25.54,1
120,25.53,1
120,25.52,1
120,25.51,1
120,25.5,1
120,25.49,1
120,25.48,1
120,25.47,1
120,25.46,1
120,25.45,1
120,25.44,1
120,25.43,1
120,25.42,1
120,25.41,1
120,25.4,1
120,25.39,1
120,25.38,1
120,25.37,1
120,25.36,1
120,25.35,1
120,25.34,1
120,25.33,1
120,25.32,1
120,25.31,1
120,25.3,1
120,25.29,1
120,25.28,1
120,25.27,1
120,25.26,1
120,25.25,1
120,25.24,1
120,25.23,1
120,25.22,1
120,25.21,1
120,25.2,1
120,25.19,1
120,25.18,1
120,25.17,1
120,25.16,1
120,25.15,1
120,25.14,1
120,25.13,1
120,25.12,1
120,25.11,1
120,25.1,1
120,25.09,1
120,25.08,1
120,25.07,1
120,25.06,1
120,25.05,1
120,25.04,1
120,25.03,1
120,25.02,1
120,25.01,1
120,25,1
120,24.99,1
120,24.98,1
120,24.97,1
120,24.96,1
120,24.95,1
120,24.94,1
120,24.93,1
120,24.92,1
120,24.91,1
120,24.9,1
120,24.89,1
120,24.88,1
120,24.87,1
120,24.86,1
120,24.85,1
120,24.84,1
120,24.83,1
120,24.82,1
120,24.81,1
120,24.8,1
120,24.79,1
120,24.78,1
120,24.77,1
120,24.76,1
120,24.75,1
